To create the PGCSubstance objects,To create the PGCSubstance objects,pgcsubstance,,create,PE,,
To edit the PGCSubstance objects,To edit the PGCSubstance objects,pgcsubstance,,edit,PE,,
To delete the PGCSubstance objects,To delete the PGCSubstance objects,pgcsubstance,,delete,PE,,
All PGCSpecifications,All PGCSpecifications,pgcspecification,,all,PE,,
To view the PGCSpecification objects,To view the PGCSpecification objects,pgcspecification,,view,PE,,
To create the PGCSpecification objects,To create the PGCSpecification objects,pgcspecification,,create,PE,,
To edit the PGCSpecification objects,To edit the PGCSpecification objects,pgcspecification,,edit,PE,,
To delete the PGCSpecification objects,To delete the PGCSpecification objects,pgcspecification,,delete,PE,,
All PGCDeclarations,All PGCDeclarations,pgcdeclaration,,all,PE,,
To view the PGCDeclaration objects,To view the PGCDeclaration objects,pgcdeclaration,,view,PE,,
To create the PGCDeclaration objects,To create the PGCDeclaration objects,pgcdeclaration,,create,PE,,
To edit the PGCDeclaration objects,To edit the PGCDeclaration objects,pgcdeclaration,,edit,PE,,
To delete the PGCDeclaration objects,To delete the PGCDeclaration objects,pgcdeclaration,,delete,PE,,
All PLMWorkflows,All PLMWorkflows,plmworkflow,,all,PLATFORM,,
To view the PLMWorkflow objects,To view the PLMWorkflow objects,plmworkflow,,view,PLATFORM,,
To create the PLMWorkflow objects,To create the PLMWorkflow objects,plmworkflow,,create,PLATFORM,,
To edit the PLMWorkflow objects,To edit the PLMWorkflow objects,plmworkflow,,edit,PLATFORM,,
To delete the PLMWorkflow objects,To delete the PLMWorkflow objects,plmworkflow,,delete,PLATFORM,,
All plmworkflowdefinition,All plmworkflowdefinition,plmworkflowdefinition,,all,PLATFORM,,
To view the plmworkflowdefinition objects,To view the plmworkflowdefinition objects,plmworkflowdefinition,,view,PLATFORM,,
To create the plmworkflowdefinition objects,To create the plmworkflowdefinition objects,plmworkflowdefinition,,create,PLATFORM,,
To edit the plmworkflowdefinition objects,To edit the plmworkflowdefinition objects,plmworkflowdefinition,,edit,PLATFORM,,
To delete the plmworkflowdefinition objects,To delete the plmworkflowdefinition objects,plmworkflowdefinition,,delete,PLATFORM,,
All itemtype Classification,All itemtype Classification,itemtype,,all,PE,,
To view the itemtype Classification objects,To view the itemtype Classification objects,itemtype,,view,PE,,
To create the itemtype Classification objects,To create the itemtype Classification objects,itemtype,,create,PE,,
To edit the itemtype Classification objects,To edit the itemtype Classification objects,itemtype,,edit,PE,,
To delete the itemtype Classification objects,To delete the itemtype Classification objects,itemtype,,delete,PE,,
All changetype Classification,All changetype Classification,changetype,,all,PE,,
To view the changetype Classification objects,To view the changetype Classification objects,changetype,,view,PE,,
To create the changetype Classification objects,To create the changetype Classification objects,changetype,,create,PE,,
To edit the changetype Classification objects,To edit the changetype Classification objects,changetype,,edit,PE,,
To delete the changetype Classification objects,To delete the changetype Classification objects,changetype,,delete,PE,,
All ecotype Classification,All ecotype Classification,ecotype,,all,PE,,
To view the ecotype Classification objects,To view the ecotype Classification objects,ecotype,,view,PE,,
To create the ecotype Classification objects,To create the ecotype Classification objects,ecotype,,create,PE,,
To edit the ecotype Classification objects,To edit the ecotype Classification objects,ecotype,,edit,PE,,
To delete the ecotype Classification objects,To delete the ecotype Classification objects,ecotype,,delete,PE,,
All ecrtype Classification,All ecrtype Classification,ecrtype,,all,PE,,
To view the ecrtype Classification objects,To view the ecrtype Classification objects,ecrtype,,view,PE,,
To create the ecrtype Classification objects,To create the ecrtype Classification objects,ecrtype,,create,PE,,
To edit the ecrtype Classification objects,To edit the ecrtype Classification objects,ecrtype,,edit,PE,,
To delete the ecrtype Classification objects,To delete the ecrtype Classification objects,ecrtype,,delete,PE,,
All dcotype Classification,All dcotype Classification,dcotype,,all,PE,,
To view the dcotype Classification objects,To view the dcotype Classification objects,dcotype,,view,PE,,
To create the dcotype Classification objects,To create the dcotype Classification objects,dcotype,,create,PE,,
To edit the dcotype Classification objects,To edit the dcotype Classification objects,dcotype,,edit,PE,,
To delete the dcotype Classification objects,To delete the dcotype Classification objects,dcotype,,delete,PE,,
All dcrtype Classification,All dcrtype Classification,dcrtype,,all,PE,,
To view the dcrtype Classification objects,To view the dcrtype Classification objects,dcrtype,,view,PE,,
To create the dcrtype Classification objects,To create the dcrtype Classification objects,dcrtype,,create,PE,,
To edit the dcrtype Classification objects,To edit the dcrtype Classification objects,dcrtype,,edit,PE,,
To delete the dcrtype Classification objects,To delete the dcrtype Classification objects,dcrtype,,delete,PE,,
All mcotype Classification,All mcotype Classification,mcotype,,all,PM,,
To view the mcotype Classification objects,To view the mcotype Classification objects,mcotype,,view,PM,,
To create the mcotype Classification objects,To create the mcotype Classification objects,mcotype,,create,PM,,
To edit the mcotype Classification objects,To edit the mcotype Classification objects,mcotype,,edit,PM,,
To delete the mcotype Classification objects,To delete the mcotype Classification objects,mcotype,,delete,PM,,
All deviationtype Classification,All deviationtype Classification,deviationtype,,all,PM,,
To view the deviationtype Classification objects,To view the deviationtype Classification objects,deviationtype,,view,PM,,
To create the deviationtype Classification objects,To create the deviationtype Classification objects,deviationtype,,create,PM,,
To edit the deviationtype Classification objects,To edit the deviationtype Classification objects,deviationtype,,edit,PM,,
To delete the deviationtype Classification objects,To delete the deviationtype Classification objects,deviationtype,,delete,PM,,
All waivertype Classification,All waivertype Classification,waivertype,,all,PM,,
To view the waivertype Classification objects,To view the waivertype Classification objects,waivertype,,view,PM,,
To create the waivertype Classification objects,To create the waivertype Classification objects,waivertype,,create,PM,,
To edit the waivertype Classification objects,To edit the waivertype Classification objects,waivertype,,edit,PM,,
To delete the waivertype Classification objects,To delete the waivertype Classification objects,waivertype,,delete,PM,,
All qualitytype Classification,All qualitytype Classification,quality_type,,all,PQ,,
To view the qualitytype Classification objects,To view the qualitytype Classification objects,quality_type,,view,PQ,,
To create the qualitytype Classification objects,To create the qualitytype Classification objects,quality_type,,create,PQ,,
To edit the qualitytype Classification objects,To edit the qualitytype Classification objects,quality_type,,edit,PQ,,
To delete the qualitytype Classification objects,To delete the qualitytype Classification objects,quality_type,,delete,PQ,,
All InspectionPlan types Classification,All InspectionPlan types Classification,inspectionplantype,,all,PQ,,
To view the InspectionPlan type Classification objects,To view the InspectionPlan type Classification objects,inspectionplantype,,view,PQ,,
To create the InspectionPlan type Classification objects,To create the InspectionPlan type Classification objects,inspectionplantype,,create,PQ,,
To edit the InspectionPlan type Classification objects,To edit the InspectionPlan type Classification objects,inspectionplantype,,edit,PQ,,
To delete the InspectionPlan type Classification objects,To delete the InspectionPlan type Classification objects,inspectionplantype,,delete,PQ,,
All ProductionOrder types Classification,All ProductionOrder types Classification,productionordertype,,all,PM,,
To view the ProductionOrder type Classification objects,To view the ProductionOrder type Classification objects,productionordertype,,view,PM,,
To create the ProductionOrder type Classification objects,To create the ProductionOrder type Classification objects,productionordertype,,create,PM,,
To edit the ProductionOrder type Classification objects,To edit the ProductionOrder type Classification objects,productionordertype,,edit,PM,,
To delete the ProductionOrder type Classification objects,To delete the ProductionOrder type Classification objects,productionordertype,,delete,PM,,
All MaterialOrder types Classification,All MaterialOrder types Classification,materialordertype,,all,PM,,
To view the MaterialOrder type Classification objects,To view the MaterialOrder type Classification objects,materialordertype,,view,PM,,
To create the MaterialOrder type Classification objects,To create the MaterialOrder type Classification objects,materialordertype,,create,PM,,
To edit the MaterialOrder type Classification objects,To edit the MaterialOrder type Classification objects,materialordertype,,edit,PM,,
To delete the MaterialOrder type Classification objects,To delete the MaterialOrder type Classification objects,materialordertype,,delete,PM,,
All PR types Classification,All PR types Classification,prtype,,all,PQ,,
To view the PR type Classification objects,To view the PR type Classification objects,prtype,,view,PQ,,
To create the PR type Classification objects,To create the PR type Classification objects,prtype,,create,PQ,,
To edit the PR type Classification objects,To edit the PR type Classification objects,prtype,,edit,PQ,,
To delete the PR type Classification objects,To delete the PR type Classification objects,prtype,,delete,PQ,,
All NCR types Classification,All NCR types Classification,ncrtype,,all,PQ,,
To view the NCR type Classification objects,To view the NCR type Classification objects,ncrtype,,view,PQ,,
To create the NCR type Classification objects,To create the NCR type Classification objects,ncrtype,,create,PQ,,
